candidate_season_key,season_id,season_name,candidate_name,survival_time,event,final_position_raw,final_departure_cause,audit_reason,proposal_reason,source_url_1,source_excerpt_1,reviewed_departure_cause,mechanism_present_in_season,source_url_review,source_excerpt_review,confidence,review_status,reviewer_notes,allowed_departure_causes
KL01::marie,KL01,KL KL01,Marie,1.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 3.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::guillaume noël,KL01,KL KL01,Guillaume Noël,2.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 7.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::jean-luc,KL01,KL KL01,Jean-Luc,3.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 10.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::gaël,KL01,KL KL01,Gaël,4.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 13.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::harry,KL01,KL KL01,Harry,5.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 16.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::sandra,KL01,KL KL01,Sandra,6.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 19.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::david,KL01,KL KL01,David,7.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 22.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::stéphane,KL01,KL KL01,Stéphane,8.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 25.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::géraldine drouhet,KL01,KL KL01,Géraldine Drouhet,9.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 30.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::michèle,KL01,KL KL01,Michèle,10.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 33.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::william,KL01,KL KL01,William,11.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 36.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
KL01::françoise,KL01,KL KL01,Françoise,12.0,1,INDETERMINE,VOTE_CONSEIL,VERIFY_FINALE_POTEAUX | VERIFY_AMBASSADEURS,Élimination décidée par vote au Conseil.,https://kohlanta.fandom.com/fr/wiki/Les_Aventuriers_de_Koh-Lanta_%28Saison_1%29,Le tableau de saison indique une élimination au conseil au jour 40.,,,,,,NOT_STARTED,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | JURY_FINAL_DECISION | VOLUNTARY | DISCIPLINARY_EXPULSION
